生产资产ID,资产类型,资产名称,资产级别,剧本出处,关联场次或段落,基础描述,补全设计信息,状态变体,材质结构或声音特点,光影或环境要求,使用或生成需求,可复用范围,信息来源,确认状态,阶段2处理建议
QNXY-LGT-P0-008-临水廊亭傍晚侧逆光,LGT,临水廊亭傍晚侧逆光,P0,V4标黄P050、P056-P061,AI-03,晚光贴廊柱落下；廊柱阴影切空间；湖面安静冷反光,主光从湖岸侧后方；人物半边脸在柱影；灯笼只轻晃不抢主光,傍晚基础状态,木材低反射、湖面冷反光、空气轻雾,对白人物受光一致,场景母图与人物融合测试,SCN-007,剧本明确;项目锁定,已锁定,阶段2纳入廊亭母图并做人物融合测试
QNXY-LGT-P0-009-西子湾黄昏金红余光,LGT,西子湾黄昏金红余光,P0,V4标黄P079-P088,AI-04,湖面铺金红余光；三孔桥与人物受侧逆光；远处山岛水雾压湖面,甲片、珠面、泪光和湿裙只出现真实反射；禁止强珠光,黄昏向远船余光减弱状态,湿石、湖水、甲片和玉石反光,黄昏侧逆光和湖面金红反光,覆盖互赠、登船、追船与远船,SCN-008,剧本明确;项目锁定,已锁定,阶段2纳入三孔桥母图与关键道具联测
QNXY-LGT-P1-010-祈福树春季柔侧光,LGT,祈福树春季柔侧光,P1,V4标黄P097-P099,AI-05春,嫩柳与湖面春日柔侧光；人物仍有盼归亮意,固定摄影机与地理关系不变,春季新红绸和白鹭状态,柔和自然光、低对比湖面,人物常服A与丝带受光,春季场景光影变体,SCN-009,剧本明确;项目锁定,已锁定,阶段2制作季节光影变体
QNXY-LGT-P1-011-祈福树夏季树荫斑驳光,LGT,祈福树夏季树荫斑驳光,P1,V4标黄P100,AI-05夏,湖风湿润；荷叶铺开；树下坐姿处有透叶斑驳光,固定摄影机与地理关系不变；外层更少但不顺光,夏季浓荫与亮湖面状态,树叶遮光与湿润空气,人物夏装、冷珠与坐姿受光,夏季场景光影变体,SCN-009,剧本明确;项目锁定,已锁定,阶段2制作季节光影变体
QNXY-LGT-P1-012-祈福树秋季低角度斜光,LGT,祈福树秋季低角度斜光,P1,V4标黄P101,AI-05秋,草色转黄、寒波压岸；低角度斜光表现时间流逝,固定摄影机与地理关系不变；红绸褪色,秋季偏冷斜光状态,薄披、素簪和旧化红绸的低饱和反光,人物重新系绸动作可见,秋季场景光影变体,SCN-009,剧本明确;项目锁定,已锁定,阶段2制作季节光影变体
QNXY-LGT-P1-013-祈福树冬季冷漫反射,LGT,祈福树冬季冷漫反射,P1,V4标黄P102,AI-05冬,落雪、冷雾与薄雪覆盖形成冷漫反射；呼吸白气轻微,固定摄影机与地理关系不变；人物脸部不顺光,冬季冷雾与薄雪状态,雪面低亮漫反射、湿发和外氅吸光,人物冬装与VFX融合,冬季场景光影与人物融合变体,SCN-009,剧本明确;项目锁定,已锁定,阶段2与VFX-006联测
QNXY-LGT-P1-014-祈福树多年后背侧冷光,LGT,祈福树多年后背侧冷光,P1,V4标黄P103-P104,AI-05多年后,旧红绸与暮年林如蔚受背侧冷光；湖面反光只托出轮廓和皱纹,固定摄影机与地理关系不变；眼神安静,多年后旧化状态,白发边缘光、真实皱纹与冷雾散射,暮年角色融合,多年后场景光影与暮年融合变体,SCN-009,剧本明确;项目锁定,已锁定,阶段2与暮年测试资产联测
QNXY-PRP-P0-001-冷珠,PRP,冷珠,P0,V4标黄P010-P015、P081-P088、P097-P104,AI-01;AI-04;AI-05,九龙灵气凝成的冷润龙珠；生产锁定为细编绳手链；交换后由林如蔚长期腕戴,QNXY-REF-015只参考淡青冷绿近球形古玉水石感、深灰细编绳与对称绳结；按腕戴手链重构；图中颈戴构图和颈部尺度不得继承；高透明玻璃、夸张冰裂和商品项链感禁用；具体珠径、腕围、闭合方式和腕侧待2A,凝结悬浮→离散→交换前苏珏腕戴→取下交换→林如蔚腕戴→追船四季暮年持续腕戴,冷润古玉、水光纹理、细编绳、对称结和细微使用痕迹,冷蓝低亮反光；禁止能量球强光,白底道具多角度、手链全环、闭合结构、男女腕戴比例、交换转接和老年手腕佩戴图,AI-01;AI-04;AI-05,剧本明确;项目锁定;用户道具参考;主创修正;合理推断,已锁定,阶段2A按REF-015重释古玉并锁定珠径腕围闭合方式与左右腕；不得回退掌心握持或颈戴
QNXY-PRP-P0-002-暖珠,PRP,暖珠,P0,V4标黄P010-P015、P080-P088,AI-01;AI-04,九龙灵气凝成的温厚暖珠；交换后系在苏珏甲胄上,QNXY-REF-013参考蜜桃暖金近球形古玉水石感、棕色细编绳、小隔珠、活动结和腕戴尺度；交换后绳结适配甲胄；高透明玻璃、夸张冰裂和商品手链感禁用；具体直径待2A,凝结悬浮→离散→交换前林如蔚腕戴候选→交给苏珏→甲胄固定并随船远去,金红温润古玉、低亮内部纹理、系绳,只反真实黄昏光；禁止法宝爆光,白底道具多角度、佩戴比例、手持比例、系绳和甲胄固定图,AI-01;AI-04,剧本明确;项目锁定;用户道具参考;合理推断,已锁定,阶段2A按REF-013重释为古玉并测试直径绳结与轻甲固定
QNXY-PRP-P1-003-书卷与纸墨包,PRP,书卷与纸墨包,P1,V4标黄P032、P034-P036,AI-02,旧版AI-02中苏珏怀抱并递交的书卷与纸墨包；稳定ID保留作为历史剧本资产,主创2026-07-26最新动作改为递出蓝色布包；本版AI-02不自动调用书卷与纸墨包；REF-048中出现的卷轴不得反向恢复旧动作,历史状态：怀抱→递接→接住,毛边纸、线装或简朴卷册、纸包与麻绳,清晨侧光与湖面反光,仅在主创重新明确调用时恢复道具与手部适配,AI-02,剧本明确;合理推断;主创2026-07-26最新动作覆盖,保留但本版AI-02不调用,不得删除稳定ID；不得把REF-048卷轴自动写入本场
QNXY-PRP-P1-004-竹篮药草与折衣组合,PRP,竹篮药草与折衣组合,P1,V4标黄P033-P036,AI-02,阶段3 AI-02调整为林如蔚在小院内整理晒好药草；REF-059与062已提供清楚的药草桌、竹篮、竹匾和多束晒干药草；REF-061提供桌与院门回望关系；本版不要求她手提装有折衣的竹篮,以REF-059、061、062锁定木桌位置、竹器、药草束及整理中听见远湖桨声后停手起身离开的状态；药草种类与色彩须克制可信,整理中→听见远湖桨声停手→起身离开药草桌→去院门；折衣组合保留历史状态但本版不自动调用,竹篾、干药草、旧木桌凳；可见重量与手部抓握,清晨自然侧光与树叶斑驳光,多视角实际道具环境已登记；用逐镜Prompt生成人物双手整理、停手和离桌动作；不要求另补动作关键帧,AI-02,剧本明确;用户2026-07-26至27最新动作、REF-059至062与全Prompt动作控制,道具环境与多视角已补,手部、药草束数量和离桌方向继续作为生成复核项
QNXY-PRP-P0-005-征募文书,PRP,征募文书,P0,V4标黄P052、P054、P056-P061,AI-03,街巷征募布告和苏珏手中的乡里自愿从军文书,是否为同一张纸V4未确认；建议共用时代纸张与文书体系但登记两种使用状态,墙贴平整状态→手持折痕→攥紧褶皱状态,粗糙古纸、浆糊边缘、折痕和毛边；文字不必逐字可读,阴天冷光与廊亭傍晚侧光,文书正背、贴墙、手持与攥皱状态资产,AI-03,剧本明确;合理推断,已锁定,已确认一物多态；阶段2避免AI乱码大字
QNXY-PRP-P1-006-渡船粗麻缆绳,PRP,渡船粗麻缆绳,P1,V4标黄P080、P086,AI-04,系泊渡船并由船工解开的粗麻缆绳,锁定与桥岸系点、船端接触点、长度和受力方向,绷紧系泊→船工解开→松垂离岸,粗麻纤维、毛边、湿气与重力下垂,黄昏侧逆光；受风和船体牵引,白底软道具、系泊状态与解缆接触图,AI-04,剧本明确;合理推断;历史参考候选,建议采用,阶段2与VEH-002和SCN-008联测
QNXY-PRP-P0-007-祈愿红绸,PRP,祈愿红绸,P0,V4标黄P097、P101、P103,AI-05,林如蔚写满心愿并系于同一祈福树枝头的红绸,锁定系挂枝位、打结方式、长度、风中下垂和可读字迹载体；不做现代景区塑料带,新红绸→秋季风雨磨淡并松开→重新系紧→多年后陈旧,天然纤维布、边缘毛丝、受风摆动和雨雪旧化,春夏秋冬光影均需保持同一位置,白底新旧状态、打结、树枝接触和风中形变图,AI-05,剧本明确;项目锁定,已锁定,阶段2与SYM-002文字层和REL-017联动
QNXY-PRP-P2-008-苏珏随身行囊,PRP,苏珏随身行囊,P2,V4标黄P080,AI-02;AI-04,阶段3 AI-02复用同一稳定ID承载苏珏归家时手拿的蓝色包袱；AI-04仍保留披甲出征行囊状态,AI-02以QNXY-REF-063独立道具图锁定深蓝灰低饱和粗布、圆鼓包体、顶部收口褶皱、中央布结和竖向提环；REF-048只继续承担人物持包造型关系；不得出现卷轴、浅色坠饰、皮革、拉链或硬箱结构,AI-02船头站立持包→下船持包→递出→双人交接→林如蔚接稳；同一包袱不得换色、换结、换手或改变体积；AI-04腰侧垂挂为另一状态，不得互相覆盖,AI-02为深蓝灰天然粗布、柔软受重力变形；AI-04材质按披甲状态另行锁定,AI-02清晨暖侧光；AI-04黄昏侧逆光,独立蓝色包袱道具资产已登记；用逐镜Prompt生成男主持包、双人递包和女主接包动作；不要求交接关键帧；不新增道具ID,AI-02;AI-04,剧本明确;用户2026-07-27提供QNXY-REF-063,AI-02独立道具资产已解决；交接动作仍由镜头Prompt生产,同一ID按场次保存不同状态；不得以AI-02蓝包覆盖AI-04出征行囊
QNXY-PRP-P2-009-廊亭灯笼,PRP,廊亭灯笼,P2,V4标黄P061,AI-03,晚风中轻晃的廊檐灯笼,只作环境动势；不作为无来源主光,轻晃状态,竹木骨架与低饱和布面,傍晚环境光,轻量场景附件,AI-03,剧本明确;创作者建议,建议采用,随SCN-007制作
QNXY-PRP-P2-010-逃难布包木箱组,PRP,逃难布包木箱组,P2,V4标黄P052,AI-03,逃难百姓肩背晃动的布包和木箱,需要若干尺寸差异避免复制,拥挤奔逃状态,粗布、麻绳、旧木,阴天尘光,轻量群演附件组,AI-03,剧本明确;合理推断,建议采用,随CRO-001制作
QNXY-VFX-P0-001-神话山湖水汽云雾汇聚,VFX,神话山湖水汽云雾汇聚,P0,V4标黄P010、P012,AI-01,水汽从山脚与岛影升起并受九龙带动汇聚；后受乱世风云扰乱,运动遵循山谷风和湖面蒸腾；不做仙侠粒子,平静上升→旋转汇聚→翻涌扰乱,半透明水汽、云层体积与真实风向,晨光与乱世压暗两套受光,制作可复用雾层和运动参考,AI-01;可复用其他湖面雾景,剧本明确;项目锁定,已锁定,阶段2制作VFX模板与SCN-001联测
QNXY-VFX-P0-002-冷暖双珠凝结与克制珠光,VFX,冷暖双珠凝结与克制珠光,P0,V4标黄P010-P015、P081、P088、P100,AI-01;AI-04;AI-05,水汽在山湖间凝成冷暖双珠；珠光仅为玉石与水光反射,锁定冷蓝与金红两路物理来源；禁止强法宝光,凝结→悬浮→离散→冷珠手腕或暖珠甲片微光,水珠汇聚、玉石透光、低亮微光和湖面反射,随各场景环境光变化,制作凝结模板、手腕/甲片低亮微光模板与禁止强光验证,AI-01;AI-04;AI-05,剧本明确;项目锁定;主创修正,已锁定,阶段2A核心技术测试
QNXY-VFX-P1-003-珠光化湖面水纹叠化,VFX,珠光化湖面水纹叠化,P1,V4标黄P015、P037,AI-01;AI-02,珠光或古代湖岸画面化作湖面水纹并叠化回现实,只登记古代端的水纹物理结果；现代未标黄画面不作为资产,珠光→水纹铺开→古代端结束,真实水面涟漪、墨水般过渡但不做传送门,继承湖面光影,制作古代端转场模板,AI-01;AI-02,剧本明确;项目锁定,已锁定,阶段2只做古代端视觉资产
QNXY-VFX-P1-004-战乱烽烟尘土与风压,VFX,战乱烽烟尘土与风压,P1,V4标黄P012、P051-P053,AI-01;AI-03,烽烟自山脊升起、尘土被脚步扬起、军旗与草叶被风压低,区分远景烽烟与街巷尘土；不出现爆炸或血腥,低强度→防线承压；街巷局部扬尘,烟尘、土尘和真实风场,冷灰天光和暗红烟边,制作远景烽烟与地面尘层模板,AI-01;AI-03,剧本明确;项目锁定,已锁定,阶段2与LGT-002、LGT-005、LGT-007联动
QNXY-VFX-P1-005-玉龙伏守山形与湖底微光,VFX,玉龙伏守山形与湖底微光,P1,V4标黄P012,AI-01,山脉轮廓渐显玉龙伏守形态；湖水深处留一线微光,保持自然山形可辨的隐喻；不生成实体巨龙趴山,由普通山影渐显隐喻状态,山体轮廓、薄雾遮挡、湖下低亮光线,乱世压暗光影,制作遮挡式环境现象模板,AI-01,剧本明确;项目锁定,已锁定,阶段2与CRE-001区分实体龙和山形意象
QNXY-VFX-P1-006-冬季薄雪冷雾与呼吸白气,VFX,冬季薄雪冷雾与呼吸白气,P1,V4标黄P102,AI-05冬,落雪无声、湖面冷雾、肩头薄雪和轻微呼吸白气,雪量轻；白气与气温和呼吸同步；不做暴雪,持续轻雪→肩头积薄雪,雪粒、冷雾、湿发和短暂白气,冷漫反射,制作冬季环境模板和人物接触测试,AI-05冬,剧本明确;项目锁定,已锁定,阶段2与CST-010、LGT-013联测
QNXY-VFX-P1-007-固定机位四季连续变换,VFX,固定机位四季连续变换,P1,V4标黄P096-P104,AI-05,同一摄影机、祈福树、湖岸和远山在春夏秋冬及多年后连续变化,空间不漂移；人物姿态与服装必须按季节变化；不是人物固定站位,春→夏→秋→冬→多年后,季节植被、湖面、天气和材料旧化连续,各季光影资产独立继承,制作同构图季节变体链与对齐测试,AI-05,剧本明确;项目锁定,已锁定,阶段2技术测试；不得沿用历史错误固定人物站位
QNXY-CRE-P0-001-九龙神龙群,CRE,九龙神龙群,P0,V4标黄P010-P011,AI-01,九条神龙自云海盘旋而下；龙身掠过山脊湖面云气；不要求全部正面完整暴露,写实神话意象；需建立九条数量感、尺度、局部鳞片、剪影与盘旋路径；避免游戏怪物化,云中剪影、局部鳞片、水汽遮挡状态,真实鳞片湿润反光；长躯和运动遵循惯性,逆光、云雾遮挡与水汽受光,生成群体结构、局部细节、遮挡比例和运动参考,AI-01,剧本明确;项目锁定,已锁定,阶段2A怪物展示技术测试
QNXY-CRO-P1-001-逃难百姓群像,CRO,逃难百姓群像,P1,V4标黄P052-P053,AI-03,拖家带口四散逃亡的南宋百姓；携布包木箱,建议男女老幼和衣着旧化差异；避免同脸同造型复制,奔逃、回望、护幼和负重等动作差异,低饱和粗布、旧鞋履和生活道具,阴天冷光与尘土,生成群像构成板与密度参考,AI-03,剧本明确;合理推断,建议采用,阶段2与街巷母图和PRP-010组合
QNXY-CRO-P1-002-乡间义士与青壮集结群像,CRO,乡间义士与青壮集结群像,P1,V4标黄P052-P055,AI-03,义士沿街呼喊号召青壮；贴文书和递布告；青壮停步集结,建议义士、响应青壮和观望者分层；避免武侠帮派感,奔走呼喊、贴布告、递文书、停步回头状态,南宋乡民粗布、文书附件,阴天尘光,生成群像构成与功能动作板,AI-03,剧本明确;合理推断,建议采用,阶段2与PRP-005、SCN-006组合
QNXY-CRO-P1-003-渡口船工单人配置,CRO,渡口船工单人配置,P1,V4标黄P086,AI-02;AI-04,AI-02为小舟船尾操桨的年长船工；AI-04仍保留岸边解开缆绳的功能状态,AI-02以QNXY-REF-058锁定1名灰发束髻年长船工、朴素深灰粗布短衣裤和长木桨；只承担行船功能，不抢苏珏叙事；AI-04状态继续按原解缆功能调用,AI-02船尾站立操桨→控制接近→减速停靠；AI-04系泊旁站立→俯身解缆→退让船体；两场状态不得互相覆盖,粗布、旧鞋和劳动痕迹；手与桨、船体重心真实,AI-02清晨湖面自然光；AI-04黄昏侧逆光,AI-02直接调用REF-058组合；后续只需随场景视图适配航向和停靠侧,AI-02;AI-04,剧本明确;合理推断;用户2026-07-26提供REF-058,AI-02船工方案已锁定,行船操作者问题已解决；不得新增船工ID；AI-04解缆状态继续保留
QNXY-CRO-P2-004-山城防线远处人影,CRO,山城防线远处人影,P2,V4标黄P051,AI-03,烽烟和尘土中急促奔走的不可辨远处人影,只需尺度与方向差异；不做近身厮杀,远景奔走剪影,不可辨服饰体块,江雾与冷灰天光,轻量远景配置,AI-03,剧本明确,已锁定,随SCN-004制作
QNXY-ANM-P1-001-白鹭,ANM,白鹭,P1,V4标黄P031、P035-P036、P099,AI-02;AI-05春,AI-02既有贴湖面低飞白鹭，并新增REF-051至052所示树冠栖息与群体起飞生态；AI-05春仍为同种白鹭,锁定真实体型、白羽、黑腿喙部、自然高低错落和不同远近尺度；REF-051至052为2026-07-26实际栖息地输入,树冠栖息、群体起飞、贴水低飞、翅尖掠水和远处再现状态；不得整齐排队或复制相同姿态,真实白羽、黑腿喙部细节和少量水花,SCN-005清晨薄雾暖光与AI-05春季柔侧光,按景别择取单只或局部群体；旧Prompt固定4只不再作为AI-02本段最新事实,AI-02;AI-05春,剧本明确;用户2026-07-26指定实际栖息地图,实际输入已登记,群体总数不固定；同一镜头必须保持数量、位置和飞行方向连续
QNXY-VEH-P0-001-南宋湖面小舟,VEH,南宋湖面小舟,P0,V4标黄P032、P034-P036,AI-02,载船头站立的苏珏从远湖返航并停靠湖边小院的旧木小舟；含中央木篷、船舱、长木桨、船首缆绳和1名船尾船工,QNXY-REF-058为主创指定的本段小舟与船工实际组合；锁定狭长旧木船体、中央弧顶木篷、船首站位、船舱空间、船首缆绳、长木桨和1名年长船工；苏珏站在船头并持蓝色布包，船工在船尾操桨；停靠位置固定QNXY-REF-056,远湖穿雾返航→林如蔚在船仍处湖中时到院门挥手→苏珏在船头回应→船工操桨接近→在REF-056岸边减速停稳→苏珏下船；同一船体同一船工同一停靠岸,旧木船板、木篷、绳索和长木桨；不得现代机动船化；苏珏站立重心须随船体微晃但不得踉跄,清晨细碎暖光、薄雾与湖面反光；船工与苏珏受光一致,基础小舟与船工资产已完成登记；接近、停稳、船头站立持包、挥手和下船全部用逐镜Prompt控制；不要求主创补动作视图或预制关键帧,AI-02,剧本明确;用户2026-07-26提供REF-058、锁定REF-056停靠点并决定全Prompt动作控制,实际组合与动作策略已登记,行船操作者已明确为船工；下一步进入分镜动作单元和镜头Prompt生产
QNXY-VEH-P0-002-南宋渡船,VEH,南宋渡船,P0,V4标黄P080、P086-P088,AI-04,停靠三孔石桥岸边并载苏珏离岸的南宋木渡船,锁定船工操作区、苏珏登船位置、回望位置、缆绳系点、离岸方向与追船岸线尺度,系泊轻晃→解缆→登船→离岸远去,旧木船体、船板、缝隙、水线和可选低矮船篷,黄昏侧逆光和水面金红反光,生成多角度结构、人物尺度、系泊与离岸关系图,AI-04,剧本明确;合理推断;历史参考候选,已锁定,已确认简朴南宋巴蜀木渡船方向；阶段2A校验精确形制并以不遮挡回望决定低矮船篷
QNXY-SYM-P1-001-九龙水法石刻纹理,SYM,九龙水法石刻纹理,P1,V4标黄P011,AI-01,大足石刻式九龙水法纹理、石龙口、青苔与云纹组合,形制细节严格参考REF-027至030的龙头结构、出壁深度、云水纹、水路与风化关系；人物龛像、现代展示设施和水印不自动继承；影调参考REF-031,风化湿润状态待随SCN-003重新设定,风化石刻、高低浮雕水路、青苔和湿痕,影调待依据REF-031重新设定,先完成资料登记与形制边界确认；本轮不出Prompt,AI-01,剧本明确;项目锁定;用户2026-07-19重设指令,重新设定中,待SCN-003场景设定确认后再进入制作
QNXY-SYM-P0-002-祈愿红绸题字,SYM,祈愿红绸题字,P0,V4标黄P097,AI-05,红绸上的原文：愿战事平息，四海清平，良人早归。,必须逐字保留；建议单独制作可读文字层再与红绸复合；不得AI乱码,新写→随红绸褪色磨旧但内容不变,符合南宋语境的手写墨迹；具体书体待确认,春季可读；后续随布料起伏和旧化,生成透明文字层、红绸贴合与旧化版本,AI-05,剧本明确;项目锁定,已锁定,已确认正文可读、不加落款及南宋语境手写方向；阶段2A锁定具体书体
QNXY-SYM-P2-003-南宋防线军旗体系,SYM,南宋防线军旗体系,P2,V4标黄P012、P051,AI-01;AI-03,城头被风压低或猎猎作响的南宋军旗,只需时代和阵营一致；V4未给旗面文字或纹样,风压与雾中远景状态,旧布、低饱和旗色,冷灰天光与烽烟,轻量旗帜系统；避免可读乱码,AI-01;AI-03,剧本明确;未能确认,未能确认,阶段2待美术方向确认后轻量补产
QNXY-SND-P0-001-九龙神话山湖声音母题,SND,九龙神话山湖声音母题,P0,V4标黄P009-P015,AI-01,山风、湖水、水汽、低沉非怪兽化龙吟与神话空间低频组成的声音母题,声音来源必须可解释；不使用音乐替代；视频模型不生成配乐,平静山湖→九龙出现→乱世压下,宽阔风场、近水滴和远层低频,随晨光到风云压暗变化,阶段2声音氛围参考与后续AI视频同期声设计,AI-01,剧本明确;项目锁定;创作者建议,建议采用,阶段2默认启用
QNXY-SND-P0-002-冷暖双珠玉石共鸣,SND,冷暖双珠玉石共鸣,P0,V4标黄P010-P015、P081-P088,AI-01;AI-04,双珠凝结、轻碰、离散、冷珠腕部活动与暖珠甲片接触时的低亮度玉石声响,冷珠与暖珠可有细微音色差；禁止科幻能量音；腕部细响不得喧宾夺主,凝结轻鸣→离散分声→交换轻碰→腕戴细响与远船微弱共鸣,清脆但温润的玉石轻鸣、细编绳摩擦与低频水声,与场景风水声融合,制作声音模板和冷暖区分样本,AI-01;AI-04,剧本明确;创作者建议;主创修正,建议采用,阶段2默认启用
QNXY-SND-P1-003-龙水湖清晨环境声,SND,龙水湖清晨环境声,P1,V4标黄P031-P037,AI-02,药草与竹匾摩擦、院内轻风、远处木桨划水、白鹭轻鸣、小舟木响、水拍岸石、女主跑向院门脚步、男主下船踩石、蓝布包衣料声、擦汗袖料声和轻微呼吸,按动作和距离分层；不加入音乐；REF-049与050只作人物音色参考,院内整理→听见远湖声→挥手回应→靠岸下船→院门相会→递包→擦汗,自然水声、木材、石面脚步、药草、竹篾和衣料摩擦,清晨湿润开阔湖面与较近院落空间需有距离透视,补齐环境与动作声层；不得以两段参考音替代同期声,AI-02,剧本明确;创作者建议;用户2026-07-26最新动作,待补实际声音层,正式镜头Prompt继续保持不要音乐
QNXY-SND-P1-004-山城防线战鼓风声,SND,山城防线战鼓风声,P1,V4标黄P012、P051-P053,AI-01;AI-03,远处战鼓、军旗风声、山风与防线人影的远层呼喊,远近层级清楚；不做血腥近战声,隐约战鼓→防线承压,低频远鼓、强风与远人声,江雾与山谷空间混响,声音氛围参考,AI-01;AI-03,剧本明确;创作者建议,建议采用,阶段2默认启用
QNXY-SND-P1-005-战乱街巷逃难环境声,SND,战乱街巷逃难环境声,P1,V4标黄P052-P055,AI-03,急促脚步、布包木箱晃动、义士呼喊、纸张上墙与人群撤离声,人声不提供新增可辨台词；避免盖过林如蔚画外音,拥挤逃难→文书贴墙→苏珏决意,近脚步、木箱、布料、纸张和中远人群,阴天尘土街巷空间,声音氛围参考与同期声清单,AI-03,剧本明确;创作者建议,建议采用,阶段2默认启用
QNXY-SND-P1-006-临水廊亭傍晚环境声,SND,临水廊亭傍晚环境声,P1,V4标黄P056-P061,AI-03,湖风穿廊、脚步、征募文书折响、衣袖、灯笼轻晃和远水声,对白期间降噪留出清晰口型台词；不使用音乐顶满,脚步进入→欲言又止→并肩沉默,木结构、纸张和柔风层,傍晚临水空间,声音氛围参考与对白同期声清单,AI-03,剧本明确;创作者建议,建议采用,阶段2默认启用
QNXY-SND-P0-007-石桥渡船追船同期声组,SND,石桥渡船追船同期声组,P0,V4标黄P080-P088,AI-04,湖风、玉石、甲片、绳结、解缆、船板、水拍船、碎石奔跑、湿裙、急促呼吸与泪落组成的动作同期声组,必须覆盖互赠、触手、登船、挥手追船、弯腰压膝和远船；对白清晰；不生成音乐,互赠安静→解缆现实动作→追船急促→远船留白,玉石、金属、麻绳、木船、水、脚步和呼吸多层,黄昏开阔湖岸,声音模板与动作时间点清单,AI-04,剧本明确;项目锁定;创作者建议,已锁定,阶段2默认启用；与REL-011至REL-014联动
QNXY-SND-P0-008-祈福树四季湖岸环境组,SND,祈福树四季湖岸环境组,P0,V4标黄P097-P104,AI-05,春白鹭与嫩柳、夏湿润湖风与荷叶、秋寒波和红绸、冬寒风落雪与呼吸、多年后旧绸与缓慢湖风,同一湖岸空间声纹保持连续；画外音清晰；不生成音乐,春→夏→秋→冬→多年后,白鹭、水声、树叶、布料、寒风、雪与呼吸,同一声场随季节变化,制作五段环境变体与连续过渡参考,AI-05,剧本明确;项目锁定;创作者建议,已锁定,阶段2默认启用
QNXY-SND-P1-009-珠光水纹转场声,SND,珠光水纹转场声,P1,V4标黄P015、P037,AI-01;AI-02,珠光低频共鸣逐渐转为湖面水纹的古代端转场声,只做到标黄古代端结束；不替代现实端声音设计,珠声→细水纹→转场留口,玉石低鸣、细水声和空间渐变,继承古代场景环境声,制作可复用转场声音模板,AI-01;AI-02,剧本明确;项目锁定;创作者建议,建议采用,阶段2默认启用
QNXY-REL-P0-001-苏珏跨服装同脸连续性,REL,苏珏跨服装同脸连续性,P0,V4标黄P013、P032-P036、P054-P061、P080-P088,AI-01至AI-04,同一苏珏由常服A、外出常服B到披甲状态；始终使用同一真人演员骨相,服装和情绪变化不得改变脸型五官发际线；AI-01扣甲青年建议与苏珏同人,常服→决意→披甲,CHR-001关联CST-001、003、005,全场自然受光保持同脸,影响阶段2人物资产和阶段3镜头调用,AI-01至AI-04,项目锁定;合理推断,已锁定,阶段2人物映射必须一对多绑定同一CHR
QNXY-REL-P0-002-林如蔚跨服装年龄同脸连续性,REL,林如蔚跨服装年龄同脸连续性,P0,V4标黄P013、P033-P036、P056-P061、P080-P088、P097-P104,AI-01至AI-05,同一林如蔚贯穿常服A、常服B、石桥湿裙、四季和暮年；自然老化不换脸,发饰、姿态、服装和年龄变；骨相五官比例不变,年轻→多年等待→暮年,CHR-002关联CST-002、004、006至011,各场景光影变化不得导致身份漂移,影响阶段2全部人物资产和阶段3调用,AI-01至AI-05,项目锁定,已锁定,阶段2先锁年轻基础脸再派生全部状态
QNXY-REL-P0-003-AI01青年女子身份映射,REL,AI01青年女子身份映射,P0,V4标黄P013,AI-01,V4只称南宋青年和年轻女子；项目叙事与历史参考指向苏珏和林如蔚的命运预告,采用同一主角可强化前世连续；若不采用将新增两名角色资产,青年扣甲、女子攥袖远望,CHR-001与CHR-002候选映射,雾色命运预告,影响阶段2角色数量和全片连续性,AI-01,合理推断;历史参考候选,已锁定,已确认映射为苏珏与林如蔚
QNXY-REL-P0-004-双珠凝结离散关系,REL,双珠凝结离散关系,P0,V4标黄P010-P015,AI-01,冷暖双珠由九龙灵气共同凝结、相生相伴；乱世来临后向两侧离散,两珠形制同源但色温和声纹可区分,凝结→相合悬浮→离散,PRP-001、PRP-002关联VFX-002与SND-002,神话山湖光影,影响阶段2核心道具和VFX测试,AI-01,剧本明确;项目锁定,已锁定,作为双珠所有后续资产的来源关系
QNXY-REL-P0-005-双珠互赠归属连续性,REL,双珠互赠归属连续性,P0,V4标黄P081-P088,AI-04,离别时二人郑重交换珍藏多年的冷暖宝珠；结果为冷珠手链转由林如蔚腕戴、暖珠转系苏珏甲胄,交换前已确认苏珏腕戴冷珠、林如蔚腕戴暖珠；QNXY-REF-013与015只作外观和绳结参考,交换前双珠分别腕戴→交换中取下递交→交换后冷珠戴至林如蔚手腕且暖珠固定甲胄,PRP-001与林如蔚手腕；PRP-002与苏珏甲胄,黄昏同一光影,影响阶段2腕戴/甲胄组合图和阶段3道具连续性,AI-04,剧本明确;项目锁定;用户道具参考;主创修正;合理推断,已锁定,阶段2A联测取下交换、冷珠重戴和暖珠绳结转用
QNXY-REL-P0-006-暖珠甲胄固定连续性,REL,暖珠甲胄固定连续性,P0,V4标黄P081、P084-P088,AI-04,暖珠由林如蔚亲手系在苏珏甲胄上并随登船远去,QNXY-REF-013的棕色细编绳与活动结用于受力逻辑参考；腕戴闭环须在交换后转为甲胄系挂；固定位置、绳结和珠面朝向从系珠到回望不漂移,手中暖珠→腕绳解开或转接→结扣收紧→甲胄固定→远船微光,PRP-002、CST-005、VEH-002,黄昏真实反光,影响阶段2多资产组合和阶段3连续镜头,AI-04,剧本明确;项目锁定;用户道具参考,已锁定,阶段2测试绳结转接与甲胄固定组合
